seed,kappa,eta,run_id,baseline_run_id,delta_sharpe,delta_cagr,delta_maxdd
3,0.001,0.02,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.0009925806807447035,-0.0001577311251156066,-2.5981299322908047e-05
3,0.0005,0.05,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.0011771390171197993,-0.00018699927668142102,-3.1969498757999926e-05
3,0.001,0.05,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.0023542791982772426,-0.00037396783519311194,-6.393779871760596e-05
3,0.0005,0.082,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.0018734585895312517,-0.00029751990488319224,-5.1359702911008e-05
3,0.001,0.082,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.0037469192505406035,-0.0005949620248237864,-0.00010271631125871594
3,0.0005,0.1,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.0022522906685333854,-0.00035762287898369327,-6.194099064998904e-05
3,0.001,0.1,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.004504583480558266,-0.0007151333564955065,-0.00012387747993358733
3,0.0005,0.2,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.0042021255881489195,-0.0006667599946802993,-0.000116310564102301
3,0.001,0.2,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.008404240627216342,-0.0013331291583397742,-0.00023260525392712617
3,0.0005,0.5,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.009476930560227914,-0.001502882191441124,-0.00026036993703751343
3,0.001,0.5,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.018953712734200767,-0.0030037792228281013,-0.000520660341910506
3,0.0005,1.0,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.019435422769857658,-0.003079827493120302,-0.0005338181083489879
3,0.001,1.0,20260402T204644Z_867c0657_seed3_prl_7249,20260402T204644Z_867c0657_seed3_prl_7249,-0.03886943937457166,-0.006151322159544392,-0.0010673023225717115
4,0.0005,0.02,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.0005667735818216668,-8.982891043379793e-05,-1.2081452437112672e-05
4,0.001,0.02,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.001133547418300851,-0.00017965074548270676,-2.416273393590629e-05
4,0.0005,0.05,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.001349792839928976,-0.00021384830008880362,-2.9672712550499192e-05
4,0.001,0.05,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.0026995859427836333,-0.0004276564982823028,-5.934439398330715e-05
4,0.0005,0.082,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.0021442404422792327,-0.00033957625815239645,-4.756065217090266e-05
4,0.001,0.082,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.004288479059968209,-0.0006790513910877871,-9.511865556630084e-05
4,0.0005,0.1,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.00257364146619643,-0.0004074880195127084,-5.719576306101315e-05
4,0.001,0.1,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.005147278536154154,-0.0008148304133930862,-0.00011438769579891206
4,0.0005,0.2,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.004789353964999021,-0.0007575663705020053,-0.00010743439276911237
4,0.001,0.2,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.009578670860325822,-0.0015146292952140095,-0.00021485527753389855
4,0.0005,0.5,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.010462553865668855,-0.0016531240624008958,-0.00024196733698389483
4,0.001,0.5,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.020924783847509176,-0.003303851309107486,-0.00048386618656248714
4,0.0005,1.0,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.020714504383903987,-0.0032720197983920063,-0.0004944910126399027
4,0.001,1.0,20260402T211800Z_867c0657_seed4_prl_dc66,20260402T211800Z_867c0657_seed4_prl_dc66,-0.04142728603081558,-0.006534656439263209,-0.0009886963207595967
